ts_code,start_date,end_date
501053.SH,20171212,20210311
161014.SZ,20171211,20210311
159957.SZ,20171103,20210311
501048.SH,20171108,20210311
501047.SH,20171108,20210311
501051.SH,20171106,20210311
501305.SH,20171106,20210311
501306.SH,20171106,20210311
160644.SZ,20171016,20210311
501049.SH,20171108,20210311
166024.SZ,20171024,20210311
160140.SZ,20170822,20210311
501046.SH,20170830,20210311
501040.SH,20170814,20210311
501039.SH,20170814,20210311
168002.SZ,20170807,20210311
501303.SH,20170807,20210311
501043.SH,20170828,20210311
501045.SH,20170828,20210311
512200.SH,20170526,20210311
511670.SH,20170803,20210311
501038.SH,20170710,20210311
501037.SH,20170726,20210311
501036.SH,20170726,20210311
160924.SZ,20170707,20210311
511620.SH,20170717,20210311
511260.SH,20170717,20210311
512400.SH,20170601,20210311
166023.SZ,20170717,20210311
512570.SH,20170615,20210311
501302.SH,20170417,20210311
161038.SZ,20170526,20210311
512800.SH,20170525,20210311
512560.SH,20170609,20210311
159955.SZ,20170503,20210311
512550.SH,20170329,20210311
161715.SZ,20170629,20210311
512700.SH,20170524,20210311
161130.SZ,20170502,20210311
160643.SZ,20170505,20210311
159951.SZ,20170515,20210311
160324.SZ,20170417,20210311
163111.SZ,20170509,20210311
161037.SZ,20170327,20210311
166402.SZ,20170322,20210311
501016.SH,20170324,20210311
167003.SZ,20170223,20210311
159952.SZ,20170322,20210311
501301.SH,20170320,20210311
160723.SZ,20170315,20210311
161631.SZ,20170103,20210311
501019.SH,20170310,20210311
168108.SZ,20161226,20210311
511770.SH,20170306,20210311
161036.SZ,20170208,20210311
512900.SH,20170126,20210311
164509.SZ,20170310,20210311
501027.SH,20161201,20210311
162719.SZ,20170116,20210311
512580.SH,20161219,20210311
501032.SH,20161219,20210311
161233.SZ,20161226,20210311
501029.SH,20161201,20210311
513050.SH,20161212,20210311
168401.SZ,20161125,20210311
501011.SH,20161128,20210311
501030.SH,20161128,20210311
511650.SH,20161212,20210311
501012.SH,20161128,20210311
501031.SH,20161128,20210311
160323.SZ,20161123,20210311
501008.SH,20161128,20210311
501010.SH,20161128,20210311
501009.SH,20161128,20210311
501007.SH,20161128,20210311
168301.SZ,20161116,20210311
161129.SZ,20161205,20210311
162717.SZ,20161107,20210311
168106.SZ,20161107,20210311
161626.SZ,20161213,20210311
161128.SZ,20161128,20210311
161127.SZ,20161128,20210311
169201.SZ,20161025,20210311
160922.SZ,20161107,20210311
161125.SZ,20161114,20210311
161126.SZ,20161114,20210311
501300.SH,20161114,20210311
501028.SH,20161017,20210311
511950.SH,20161109,20210311
160223.SZ,20160928,20210311
161035.SZ,20161010,20210311
160322.SZ,20161010,20210311
501025.SH,20161010,20210311
164703.SZ,20161107,20210311
161124.SZ,20161017,20210311
501050.SH,20160919,20210311
501022.SH,20160824,20210311
160722.SZ,20160905,20210311
165317.SZ,20160815,20210311
512100.SH,20160824,20210311
501023.SH,20160829,20210311
511690.SH,20160908,20210311
164814.SZ,20160926,20210311
511700.SH,20160912,20210311
160642.SZ,20160906,20210311
167002.SZ,20160815,20210311
164210.SZ,20160919,20210311
501026.SH,20160815,20210311
160421.SZ,20160810,20210311
511660.SH,20160815,20210311
512680.SH,20160725,20210311
511600.SH,20160830,20210311
168104.SZ,20160727,20210311
512000.SH,20160801,20210311
160921.SZ,20160718,20210311
160522.SZ,20160718,20210311
512810.SH,20160711,20210311
169105.SZ,20160728,20210311
161834.SZ,20160627,20210311
160520.SZ,20160704,20210311
510810.SH,20160711,20210311
165525.SZ,20160727,20210311
512660.SH,20160620,20210311
512880.SH,20160620,20210311
167001.SZ,20160620,20210311
164403.SZ,20160720,20210311
160635.SZ,20160715,20210311
511970.SH,20160704,20210311
160225.SZ,20160701,20210311
511850.SH,20160613,20210311
159949.SZ,20160606,20210311
169104.SZ,20160620,20210311
163003.SZ,20160624,20210311
501021.SH,20160523,20210311
511910.SH,20160620,20210311
501018.SH,20160517,20210311
161727.SZ,20160509,20210311
160519.SZ,20160504,20210311
501017.SH,20160503,20210311
161232.SZ,20160420,20210311
165528.SZ,20160425,20210311
162215.SZ,20160513,20210311
159948.SZ,20160418,20210311
160622.SZ,20160425,20210311
160518.SZ,20160310,20210311
162415.SZ,20160229,20210311
501015.SH,20160218,20210311
511920.SH,20160309,20210311
161033.SZ,20160107,20210311
168102.SZ,20160113,20210311
163005.SZ,20160204,20210311
166016.SZ,20160202,20210311
511820.SH,20160111,20210311
501005.SH,20151228,20210311
169103.SZ,20160111,20210311
161823.SZ,20160118,20210311
163907.SZ,20160108,20210311
511960.SH,20151228,20210311
161229.SZ,20151123,20210311
164206.SZ,20151203,20210311
511930.SH,20151119,20210311
511900.SH,20151111,20210311
511980.SH,20151016,20210311
510580.SH,20150803,20210311
510360.SH,20150710,20210311
161227.SZ,20150814,20210311
168101.SZ,20150626,20210311
502040.SH,20150629,20210311
502053.SH,20150713,20210311
502023.SH,20150623,20210311
161226.SZ,20150720,20210311
167301.SZ,20150625,20210311
167501.SZ,20150724,20210311
511830.SH,20150702,20210311
502010.SH,20150623,20210311
502003.SH,20150623,20210311
501000.SH,20150608,20210311
501001.SH,20150609,20210311
512330.SH,20150610,20210311
161030.SZ,20150605,20210311
159944.SZ,20150608,20210311
159945.SZ,20150608,20210311
161032.SZ,20150608,20210311
163118.SZ,20150601,20210311
502006.SH,20150608,20210311
161031.SZ,20150601,20210311
162414.SZ,20150601,20210311
160135.SZ,20150525,20210311
159941.SZ,20150520,20210311
160637.SZ,20150525,20210311
159943.SZ,20150511,20210311
160136.SZ,20150525,20210311
161123.SZ,20150518,20210311
161122.SZ,20150518,20210311
502013.SH,20150512,20210311
510560.SH,20150511,20210311
160639.SZ,20150518,20210311
510710.SH,20150515,20210311
161726.SZ,20150519,20210311
161725.SZ,20150512,20210311
164906.SZ,20150430,20210311
160806.SZ,20150522,20210311
161724.SZ,20150504,20210311
161225.SZ,20150422,20210311
160638.SZ,20150508,20210311
163116.SZ,20150421,20210311
512510.SH,20150415,20210311
166105.SZ,20150507,20210311
160633.SZ,20150427,20210311
512500.SH,20150408,20210311
162108.SZ,20150504,20210311
160632.SZ,20150420,20210311
166012.SZ,20150420,20210311
160631.SZ,20150407,20210311
161722.SZ,20150413,20210311
502048.SH,20150330,20210311
165517.SZ,20150414,20210311
161224.SZ,20150316,20210311
166011.SZ,20150331,20210311
160221.SZ,20150316,20210311
161028.SZ,20150312,20210311
161027.SZ,20150316,20210311
159940.SZ,20150225,20210311
162510.SZ,20150323,20210311
162105.SZ,20150309,20210311
161716.SZ,20150302,20210311
512990.SH,20150119,20210311
161222.SZ,20150119,20210311
169102.SZ,20141222,20210311
159939.SZ,20141215,20210311
160919.SZ,20141226,20210311
513600.SH,20141209,20210311
159005.SZ,20141215,20210311
513660.SH,20141209,20210311
161026.SZ,20141128,20210311
